Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Max Td Out (°C),Max Tu Out (°C),Rise Td Out (°C),Rise Tu Out (°C),Ratio Out,Max Td In (°C),Max Tu In (°C),Rise Td In (°C),Rise Tu In (°C),Ratio In,Pulse Duration (s),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
23/02/2026,00:00:00,0.927,1.315,3.331,4.001,0.033,0.04,10.057,9.893,0.904,0.859,1.052,10.416,10.053,0.86,0.799,1.075,4.02,4.19,17.29,present ,23.88,33.9,
23/02/2026,00:30:00,0.875,1.285,3.24,3.95,0.032,0.039,9.836,9.699,0.9,0.857,1.049,10.19,9.849,0.861,0.8,1.074,4.02,4.19,17.1,present ,23.88,33.9,
23/02/2026,01:00:00,0.896,1.243,3.277,3.877,0.032,0.038,9.632,9.518,0.903,0.859,1.051,9.959,9.641,0.858,0.8,1.071,4.02,4.19,17.1,present ,23.88,33.9,
23/02/2026,01:30:00,0.939,1.378,3.351,4.11,0.033,0.041,9.496,9.388,0.903,0.857,1.053,9.79,9.485,0.864,0.8,1.079,4.02,4.19,17.29,present ,23.88,33.9,
23/02/2026,02:00:00,1.037,1.415,3.521,4.174,0.035,0.041,9.374,9.265,0.908,0.857,1.059,9.66,9.36,0.865,0.799,1.081,4.02,4.19,17.2,present ,23.87,33.59,
23/02/2026,02:30:00,1.113,1.367,3.652,4.091,0.036,0.04,9.264,9.159,0.91,0.855,1.063,9.536,9.239,0.865,0.801,1.078,4.02,4.19,17.4,present ,23.88,33.9,
23/02/2026,03:00:00,1.266,1.458,3.917,4.248,0.039,0.042,9.182,9.068,0.916,0.854,1.072,9.43,9.134,0.867,0.799,1.084,4.02,4.19,17.4,present ,23.88,33.9,
23/02/2026,03:30:00,1.27,1.466,3.923,4.262,0.039,0.042,9.144,9.028,0.916,0.853,1.073,9.37,9.073,0.869,0.8,1.084,4.02,4.19,17.5,present ,23.88,33.9,
23/02/2026,04:00:00,1.265,1.44,3.914,4.217,0.039,0.042,9.087,8.979,0.916,0.854,1.072,9.328,9.032,0.869,0.801,1.083,4.02,4.19,17.4,present ,23.88,33.9,
23/02/2026,04:30:00,1.22,1.498,3.838,4.318,0.038,0.043,8.972,8.857,0.916,0.856,1.07,9.234,8.939,0.869,0.798,1.086,4.02,4.19,17.2,present ,23.88,33.9,
