Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Max Td Out (°C),Max Tu Out (°C),Rise Td Out (°C),Rise Tu Out (°C),Ratio Out,Max Td In (°C),Max Tu In (°C),Rise Td In (°C),Rise Tu In (°C),Ratio In,Pulse Duration (s),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
23/02/2026,00:00:00,1.129,0.321,3.68,2.284,0.036,0.022,10.249,10.226,1.068,1.003,1.064,10.686,10.701,1.127,1.107,1.018,4.02,4.2,20.6,present ,23.89,63,
23/02/2026,00:30:00,0.942,0.263,3.357,2.184,0.033,0.021,9.961,9.953,1.063,1.009,1.053,10.351,10.376,1.128,1.112,1.014,4.02,4.2,20,present ,23.9,64.19,
23/02/2026,01:00:00,1.123,0.341,3.67,2.318,0.036,0.023,9.798,9.781,1.071,1.006,1.064,10.141,10.162,1.132,1.111,1.019,4.02,4.2,20.2,present ,23.9,63.9,
23/02/2026,01:30:00,1.695,0.628,4.658,2.813,0.046,0.028,9.755,9.708,1.09,0.992,1.098,10.053,10.063,1.14,1.102,1.035,4.02,4.2,20.6,present ,23.9,63.6,
23/02/2026,02:00:00,2.031,0.827,5.239,3.158,0.052,0.031,9.724,9.666,1.098,0.98,1.119,10.007,10.014,1.147,1.096,1.047,4.02,4.2,20.8,present ,23.9,63.6,
23/02/2026,02:30:00,2.383,0.915,5.848,3.311,0.058,0.033,9.721,9.649,1.107,0.97,1.141,9.968,9.972,1.15,1.094,1.052,4.02,4.2,20.7,present ,23.9,64.5,
23/02/2026,03:00:00,2.822,1.161,6.605,3.735,0.066,0.037,9.735,9.638,1.12,0.957,1.169,9.956,9.955,1.158,1.087,1.066,4.02,4.2,20.5,present ,23.9,63.6,
23/02/2026,03:30:00,2.79,1.097,6.55,3.625,0.065,0.036,9.829,9.728,1.121,0.96,1.167,10.06,10.059,1.156,1.088,1.062,4.02,4.2,20.6,present ,23.9,64.19,
23/02/2026,04:00:00,2.093,0.785,5.346,3.085,0.053,0.03,9.861,9.795,1.097,0.976,1.123,10.168,10.176,1.145,1.097,1.044,4.02,4.2,20.8,present ,23.9,63.9,
23/02/2026,04:30:00,2.07,0.764,5.307,3.048,0.053,0.03,9.796,9.733,1.099,0.979,1.121,10.116,10.124,1.145,1.098,1.043,4.02,4.2,20.4,present ,23.9,63.9,
