Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Max Td Out (°C),Max Tu Out (°C),Rise Td Out (°C),Rise Tu Out (°C),Ratio Out,Max Td In (°C),Max Tu In (°C),Rise Td In (°C),Rise Tu In (°C),Ratio In,Pulse Duration (s),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
23/02/2026,00:00:00,1.073,0.452,3.583,2.511,0.035,0.025,10.404,10.415,1.123,1.058,1.061,10.463,10.51,0.989,0.965,1.025,4.02,4.19,7.5,present ,23.78,30.3,
23/02/2026,00:30:00,0.73,0.301,2.991,2.248,0.029,0.022,10.05,10.091,1.111,1.067,1.041,10.112,10.177,0.988,0.972,1.016,4.02,4.19,6.8,present ,23.78,30.6,
23/02/2026,01:00:00,0.837,0.357,3.176,2.346,0.031,0.023,9.85,9.881,1.118,1.068,1.047,9.876,9.94,0.991,0.972,1.02,4.02,4.19,6.9,present ,23.78,30.6,
23/02/2026,01:30:00,1.423,0.687,4.188,2.915,0.041,0.029,9.789,9.783,1.139,1.052,1.082,9.777,9.823,1.001,0.964,1.038,4.02,4.19,7,present ,23.78,30.6,
23/02/2026,02:00:00,1.981,0.963,5.152,3.393,0.051,0.033,9.751,9.71,1.155,1.035,1.116,9.734,9.762,1.01,0.958,1.054,4.02,4.19,7.1,present ,23.78,30.6,
23/02/2026,02:30:00,2.877,1.474,6.7,4.277,0.067,0.042,9.737,9.621,1.182,1.008,1.173,9.694,9.692,1.023,0.943,1.085,4.02,4.19,7.3,present ,23.78,30.9,
23/02/2026,03:00:00,3.903,1.971,8.475,5.134,0.084,0.051,9.744,9.546,1.212,0.976,1.242,9.683,9.649,1.039,0.932,1.115,4.02,4.19,7.1,present ,23.78,30.6,
23/02/2026,03:30:00,3.276,1.67,7.391,4.615,0.073,0.046,9.758,9.598,1.194,0.996,1.199,9.728,9.703,1.03,0.939,1.097,4.02,4.19,7.4,present ,23.78,30.9,
23/02/2026,04:00:00,2.108,1.02,5.372,3.491,0.053,0.034,9.756,9.68,1.158,1.031,1.124,9.791,9.797,1.01,0.955,1.058,4.02,4.19,7.3,present ,23.78,30.6,
23/02/2026,04:30:00,2.162,1.079,5.465,3.594,0.054,0.035,9.734,9.652,1.163,1.032,1.127,9.767,9.77,1.012,0.954,1.061,4.02,4.19,7,present ,23.78,31.2,
23/02/2026,05:00:00,1.954,0.938,5.106,3.35,0.051,0.033,9.721,9.642,1.155,1.036,1.114,9.728,9.734,1.008,0.957,1.053,4.02,4.19,6.8,present ,23.74,30.6,
