Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Max Td Out (°C),Max Tu Out (°C),Rise Td Out (°C),Rise Tu Out (°C),Ratio Out,Max Td In (°C),Max Tu In (°C),Rise Td In (°C),Rise Tu In (°C),Ratio In,Pulse Duration (s),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
23/02/2026,00:00:00,2.367,3.32,5.819,7.467,0.058,0.074,10.065,9.854,0.939,0.822,1.14,10.623,10.057,0.998,0.828,1.202,4.02,4.19,14.5,present ,23.9,31.8,
23/02/2026,00:30:00,2.292,3.32,5.691,7.466,0.056,0.074,9.792,9.586,0.939,0.826,1.135,10.303,9.74,1,0.83,1.202,4.02,4.19,14.2,present ,23.9,31.8,
23/02/2026,01:00:00,2.431,3.281,5.929,7.398,0.059,0.073,9.62,9.402,0.945,0.825,1.144,10.08,9.519,1.001,0.832,1.199,4.02,4.19,14.4,present ,23.93,31.2,
23/02/2026,01:30:00,2.896,3.443,6.733,7.679,0.067,0.076,9.555,9.307,0.959,0.815,1.174,9.969,9.402,1.007,0.83,1.21,4.02,4.19,14.4,present ,23.93,31.8,
23/02/2026,02:00:00,3.372,3.46,7.557,7.709,0.075,0.077,9.504,9.237,0.971,0.805,1.206,9.906,9.339,1.011,0.832,1.212,4.02,4.19,14.6,present ,23.93,31.5,
23/02/2026,02:30:00,3.809,3.539,8.312,7.845,0.083,0.078,9.467,9.176,0.979,0.792,1.235,9.851,9.285,1.011,0.829,1.217,4.02,4.19,14.5,present ,23.9,31.8,
23/02/2026,03:00:00,4.325,3.651,9.203,8.039,0.092,0.08,9.451,9.133,0.992,0.779,1.271,9.816,9.251,1.014,0.827,1.224,4.02,4.19,14.5,present ,23.93,31.2,
23/02/2026,03:30:00,4.114,3.608,8.839,7.964,0.088,0.079,9.476,9.173,0.987,0.785,1.256,9.867,9.305,1.014,0.829,1.221,4.02,4.19,14.5,present ,23.93,31.8,
23/02/2026,04:00:00,3.411,3.479,7.623,7.741,0.076,0.077,9.478,9.221,0.972,0.804,1.208,9.95,9.392,1.01,0.831,1.213,4.02,4.19,14.5,present ,23.97,31.8,
23/02/2026,04:30:00,3.407,3.484,7.616,7.75,0.076,0.077,9.43,9.17,0.971,0.803,1.208,9.918,9.357,1.009,0.83,1.213,4.02,4.19,14.4,present ,23.93,31.8,
23/02/2026,05:00:00,3.213,3.453,7.281,7.696,0.072,0.076,9.412,9.156,0.967,0.808,1.195,9.889,9.323,1.009,0.831,1.211,4.02,4.19,14.4,present ,23.93,31.5,
23/02/2026,05:30:00,3.565,3.53,7.89,7.83,0.078,0.078,9.438,9.159,0.976,0.8,1.219,9.901,9.328,1.011,0.83,1.216,4.02,4.19,14.4,present ,23.93,31.8,
23/02/2026,06:00:00,2.863,3.327,6.677,7.478,0.066,0.074,9.381,9.145,0.957,0.816,1.172,9.898,9.329,1.004,0.833,1.203,4.02,4.19,14.3,present ,23.9,31.8,
23/02/2026,06:30:00,3.42,3.43,7.639,7.656,0.076,0.076,9.18,8.923,0.973,0.804,1.209,9.715,9.146,1.007,0.831,1.209,4.02,4.19,13.8,present ,23.93,31.8,
23/02/2026,07:00:00,3.617,3.504,7.98,7.784,0.079,0.077,9.08,8.806,0.976,0.797,1.222,9.589,9.017,1.01,0.83,1.214,4.02,4.19,14,present ,23.89,31.2,
23/02/2026,07:30:00,3.947,3.622,8.55,7.989,0.085,0.079,9.036,8.737,0.985,0.79,1.245,9.508,8.931,1.016,0.829,1.222,4.02,4.19,14.1,present ,23.93,31.5,
23/02/2026,08:00:00,4.294,3.692,9.15,8.109,0.091,0.081,9.12,8.792,0.992,0.781,1.269,9.557,8.972,1.017,0.827,1.227,4.02,4.19,14.2,present ,23.93,31.8,
23/02/2026,08:30:00,4.854,3.752,10.118,8.213,0.101,0.082,9.246,8.884,1.009,0.77,1.309,9.655,9.062,1.02,0.827,1.231,4.02,4.19,14.5,present ,23.93,31.8,
23/02/2026,09:00:00,5.002,3.734,10.373,8.183,0.103,0.081,9.435,9.057,1.011,0.765,1.32,9.807,9.209,1.02,0.828,1.23,4.02,4.19,15,present ,23.9,31.8,
23/02/2026,09:30:00,5.785,3.912,11.726,8.49,0.117,0.084,9.854,9.421,1.031,0.747,1.379,10.125,9.516,1.024,0.823,1.242,4.02,4.19,15.6,present ,23.93,31.8,
23/02/2026,10:00:00,6.344,4.009,12.693,8.657,0.126,0.086,10.191,9.735,1.039,0.73,1.422,10.489,9.879,1.027,0.821,1.249,4.02,4.19,16.1,present ,23.93,31.8,
23/02/2026,10:30:00,7.881,4.272,15.349,9.113,0.153,0.091,10.731,10.181,1.067,0.688,1.549,10.9,10.278,1.036,0.816,1.267,4.02,4.19,17,present ,23.93,31.5,
23/02/2026,11:00:00,10.045,4.706,19.089,9.863,0.19,0.098,11.73,11.02,1.117,0.639,1.747,11.649,10.995,1.051,0.809,1.298,4.02,4.19,19.1,present ,23.93,31.2,
23/02/2026,11:30:00,10.766,4.809,20.336,10.04,0.203,0.1,12.463,11.727,1.123,0.617,1.818,12.497,11.848,1.052,0.804,1.306,4.02,4.19,19.1,present ,23.93,31.2,
23/02/2026,12:00:00,10.453,4.785,19.794,9.999,0.197,0.099,12.993,12.353,1.11,0.621,1.787,13.465,12.866,1.04,0.796,1.304,4.02,4.19,19.9,present ,23.93,31.2,
23/02/2026,12:30:00,9.663,4.767,18.429,9.968,0.184,0.099,12.957,12.366,1.101,0.644,1.71,13.473,12.834,1.032,0.791,1.303,4.02,4.19,18.6,present ,23.92,30.9,
23/02/2026,13:00:00,10.33,4.836,19.583,10.087,0.195,0.1,13.175,12.528,1.115,0.628,1.775,13.487,12.835,1.04,0.794,1.308,4.02,4.19,19.29,present ,23.93,31.2,
23/02/2026,13:30:00,10.92,5.011,20.601,10.389,0.206,0.103,13.563,12.856,1.118,0.609,1.834,13.826,13.168,1.046,0.791,1.321,4.02,4.19,20.2,present ,23.89,31.2,
23/02/2026,14:00:00,11.099,5.059,20.91,10.472,0.209,0.104,13.777,13.073,1.132,0.611,1.852,14.141,13.496,1.044,0.787,1.324,4.02,4.19,20,present ,23.93,31.5,
23/02/2026,14:30:00,10.379,4.818,19.667,10.056,0.196,0.1,13.735,13.097,1.102,0.619,1.78,14.196,13.557,1.036,0.792,1.306,4.02,4.19,19.5,present ,23.93,31.2,
