Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Max Td Out (°C),Max Tu Out (°C),Rise Td Out (°C),Rise Tu Out (°C),Ratio Out,Max Td In (°C),Max Tu In (°C),Rise Td In (°C),Rise Tu In (°C),Ratio In,Pulse Duration (s),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
23/02/2026,00:00:00,-0.018,-1.069,1.696,-0.12,0.016,-0.001,9.958,9.939,0.809,0.811,0.998,10.352,10.576,0.845,0.898,0.942,4.02,4.19,11.7,present ,23.96,30.9,
23/02/2026,00:30:00,-0.073,-1.051,1.6,-0.089,0.016,0,9.665,9.655,0.809,0.813,0.995,10.022,10.252,0.847,0.898,0.943,4.02,4.19,11.7,present ,23.96,30.9,
23/02/2026,01:00:00,-0.022,-1.051,1.689,-0.089,0.016,0,9.45,9.439,0.811,0.813,0.998,9.762,9.996,0.848,0.9,0.943,4.02,4.19,11.5,present ,23.96,30.6,
23/02/2026,01:30:00,0.051,-1.09,1.818,-0.156,0.018,-0.001,9.337,9.321,0.814,0.812,1.002,9.604,9.838,0.849,0.903,0.941,4.02,4.19,11.6,present ,23.96,30.9,
23/02/2026,02:00:00,0.243,-1.012,2.148,-0.02,0.021,0,9.243,9.221,0.818,0.807,1.013,9.495,9.726,0.851,0.902,0.945,4.02,4.19,12,present ,23.96,30.9,
23/02/2026,02:30:00,0.255,-1.037,2.169,-0.064,0.021,0,9.156,9.132,0.818,0.807,1.014,9.384,9.616,0.851,0.903,0.944,4.02,4.19,11.9,present ,23.96,30.9,
23/02/2026,03:00:00,0.3,-0.987,2.248,0.021,0.022,0,9.081,9.048,0.82,0.806,1.016,9.287,9.517,0.852,0.901,0.946,4.02,4.19,12,present ,23.96,30.9,
23/02/2026,03:30:00,0.3,-0.991,2.248,0.015,0.022,0,9.047,9.014,0.821,0.808,1.016,9.238,9.466,0.852,0.902,0.946,4.02,4.19,12.1,present ,23.96,31.2,
23/02/2026,04:00:00,0.178,-1,2.036,0,0.02,0,8.998,8.969,0.815,0.808,1.009,9.205,9.434,0.853,0.903,0.945,4.02,4.19,11.9,present ,23.96,31.2,
23/02/2026,04:30:00,0.316,-0.962,2.275,0.065,0.022,0,8.901,8.866,0.821,0.807,1.017,9.12,9.346,0.855,0.903,0.947,4.02,4.19,11.7,present ,23.96,30.9,
23/02/2026,05:00:00,0.212,-1,2.096,-0.001,0.02,0,8.874,8.839,0.819,0.809,1.011,9.077,9.303,0.854,0.904,0.945,4.02,4.19,11.4,present ,23.96,30.9,
23/02/2026,05:30:00,0.307,-0.932,2.259,0.115,0.022,0.001,8.905,8.866,0.822,0.808,1.017,9.093,9.317,0.856,0.902,0.949,4.02,4.19,11.8,present ,23.93,31.2,
23/02/2026,06:00:00,0.112,-1.044,1.923,-0.076,0.019,0,8.883,8.851,0.815,0.811,1.006,9.106,9.33,0.852,0.904,0.943,4.02,4.19,11.4,present ,23.96,30.9,
23/02/2026,06:30:00,0.303,-0.95,2.252,0.085,0.022,0,8.713,8.679,0.822,0.808,1.017,8.975,9.198,0.854,0.902,0.948,4.02,4.19,11.2,present ,23.96,31.2,
23/02/2026,07:00:00,0.414,-0.909,2.444,0.156,0.024,0.001,8.607,8.563,0.822,0.803,1.023,8.838,9.057,0.855,0.9,0.95,4.02,4.19,11.3,present ,23.92,30.9,
23/02/2026,07:30:00,0.393,-0.928,2.409,0.123,0.024,0.001,8.537,8.485,0.824,0.806,1.022,8.728,8.945,0.855,0.902,0.949,4.02,4.19,11.3,present ,23.93,31.5,
