Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Max Td Out (°C),Max Tu Out (°C),Rise Td Out (°C),Rise Tu Out (°C),Ratio Out,Max Td In (°C),Max Tu In (°C),Rise Td In (°C),Rise Tu In (°C),Ratio In,Pulse Duration (s),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
23/02/2026,00:00:00,1.605,1.543,4.502,4.395,0.045,0.043,10.148,9.952,0.863,0.789,1.093,10.591,10.214,0.903,0.828,1.089,4.02,4.18,16.4,present ,23.79,31.8,
23/02/2026,00:30:00,1.488,1.435,4.3,4.209,0.043,0.042,9.855,9.677,0.863,0.794,1.086,10.262,9.893,0.905,0.834,1.083,4.02,4.18,16.1,present ,23.82,31.8,
23/02/2026,01:00:00,1.585,1.374,4.468,4.103,0.044,0.041,9.632,9.459,0.863,0.79,1.092,10.002,9.638,0.901,0.834,1.079,4.02,4.18,16.2,present ,23.79,31.8,
23/02/2026,01:30:00,1.589,1.423,4.476,4.188,0.044,0.041,9.51,9.341,0.865,0.792,1.092,9.851,9.487,0.904,0.834,1.082,4.02,4.18,16.4,present ,23.79,32.09,
23/02/2026,02:00:00,1.572,1.478,4.445,4.283,0.044,0.042,9.406,9.233,0.866,0.793,1.091,9.745,9.379,0.905,0.832,1.085,4.02,4.18,16.4,present ,23.79,32.4,
23/02/2026,02:30:00,1.582,1.541,4.463,4.392,0.044,0.043,9.318,9.139,0.865,0.792,1.091,9.645,9.276,0.907,0.832,1.089,4.02,4.18,16.4,present ,23.82,31.8,
23/02/2026,03:00:00,1.746,1.524,4.746,4.362,0.047,0.043,9.251,9.059,0.87,0.789,1.101,9.558,9.187,0.908,0.833,1.088,4.02,4.18,16.4,present ,23.79,31.8,
23/02/2026,03:30:00,1.838,1.513,4.904,4.343,0.049,0.043,9.23,9.038,0.871,0.786,1.107,9.524,9.15,0.909,0.835,1.087,4.02,4.18,16.79,present ,23.79,31.8,
23/02/2026,04:00:00,1.763,1.513,4.775,4.344,0.047,0.043,9.182,8.994,0.87,0.788,1.102,9.503,9.127,0.909,0.835,1.087,4.02,4.18,16.6,present ,23.82,31.8,
23/02/2026,04:30:00,1.836,1.503,4.902,4.326,0.049,0.043,9.085,8.892,0.871,0.787,1.107,9.422,9.044,0.909,0.835,1.087,4.02,4.18,16.5,present ,23.79,31.8,
23/02/2026,05:00:00,1.672,1.509,4.619,4.336,0.046,0.043,9.061,8.87,0.869,0.791,1.097,9.385,9.006,0.908,0.835,1.087,4.02,4.18,16.4,present ,23.79,32.4,
23/02/2026,05:30:00,1.735,1.479,4.727,4.286,0.047,0.042,9.084,8.887,0.871,0.79,1.101,9.403,9.02,0.908,0.836,1.085,4.02,4.18,16.5,present ,23.79,32.09,
23/02/2026,06:00:00,1.547,1.465,4.402,4.261,0.044,0.042,9.061,8.869,0.866,0.794,1.089,9.412,9.028,0.907,0.835,1.084,4.02,4.18,16,present ,23.79,31.8,
23/02/2026,06:30:00,1.71,1.394,4.684,4.138,0.046,0.041,8.86,8.67,0.868,0.789,1.099,9.265,8.879,0.904,0.836,1.08,4.02,4.18,15.8,present ,23.83,32.09,
23/02/2026,07:00:00,1.838,1.5,4.905,4.322,0.049,0.043,8.748,8.541,0.871,0.786,1.107,9.149,8.756,0.909,0.835,1.086,4.02,4.18,15.8,present ,23.79,31.8,
23/02/2026,07:30:00,1.877,1.548,4.973,4.403,0.049,0.044,8.688,8.464,0.873,0.786,1.109,9.07,8.667,0.911,0.835,1.089,4.02,4.18,16.2,present ,23.83,32.4,
23/02/2026,08:00:00,2.196,1.622,5.524,4.531,0.055,0.045,8.775,8.536,0.883,0.781,1.129,9.111,8.698,0.914,0.835,1.094,4.02,4.18,16.5,present ,23.79,31.8,
23/02/2026,08:30:00,2.902,1.794,6.745,4.829,0.067,0.048,8.939,8.656,0.898,0.764,1.174,9.223,8.8,0.917,0.829,1.104,4.02,4.18,16.6,present ,23.79,32.09,
23/02/2026,09:00:00,4.179,2.045,8.951,5.263,0.089,0.052,9.191,8.837,0.928,0.735,1.261,9.395,8.959,0.923,0.823,1.12,4.02,4.18,16.9,present ,23.82,31.8,
23/02/2026,09:30:00,7.176,2.783,14.132,6.538,0.141,0.065,9.697,9.173,0.996,0.668,1.489,9.721,9.255,0.943,0.807,1.167,4.02,4.18,17.7,present ,23.83,32.09,
23/02/2026,10:00:00,10.716,3.775,20.25,8.253,0.202,0.082,10.061,9.36,1.065,0.587,1.813,10.03,9.528,0.963,0.781,1.233,4.02,4.18,18.29,present ,23.79,31.8,
23/02/2026,10:30:00,13.553,4.455,25.153,9.428,0.251,0.094,10.539,9.685,1.114,0.525,2.123,10.335,9.806,0.979,0.765,1.28,4.02,4.18,19.29,present ,23.82,31.8,
23/02/2026,11:00:00,17.423,5.551,31.84,11.322,0.318,0.113,11.378,10.289,1.17,0.444,2.632,10.885,10.312,1.005,0.739,1.361,4.02,4.18,22.7,present ,23.82,31.5,
23/02/2026,11:30:00,21.106,6.534,38.207,13.021,0.382,0.13,12.116,10.855,1.206,0.374,3.23,11.502,10.888,1.024,0.714,1.437,4.02,4.19,25.1,present ,23.82,31.5,
23/02/2026,12:00:00,22.288,6.894,40.25,13.644,0.402,0.136,12.397,11.076,1.202,0.348,3.449,11.938,11.297,1.022,0.698,1.466,4.02,4.18,23.1,present ,23.82,31.5,
23/02/2026,12:30:00,20.531,6.475,37.212,12.92,0.372,0.129,12.19,10.953,1.194,0.382,3.128,11.838,11.206,1.012,0.707,1.433,4.02,4.18,20.7,present ,23.82,31.8,
23/02/2026,13:00:00,21.392,6.749,38.701,13.393,0.387,0.133,12.315,11.025,1.202,0.366,3.282,11.831,11.185,1.02,0.702,1.454,4.02,4.18,20.8,present ,23.82,31.5,
23/02/2026,13:30:00,24.093,7.51,43.368,14.707,0.433,0.147,12.488,11.05,1.212,0.318,3.813,11.925,11.248,1.032,0.682,1.517,4.02,4.18,21.8,present ,23.82,31.5,
23/02/2026,14:00:00,23.755,7.498,42.785,14.688,0.427,0.146,12.472,11.035,1.218,0.325,3.742,11.928,11.25,1.032,0.682,1.516,4.02,4.19,21.7,present ,23.82,31.5,
23/02/2026,14:30:00,22.782,7.142,41.103,14.073,0.411,0.14,12.345,10.973,1.208,0.341,3.545,11.862,11.2,1.028,0.693,1.487,4.02,4.18,21.3,present ,23.82,31.5,
23/02/2026,15:00:00,21.653,6.869,39.152,13.6,0.391,0.136,12.226,10.909,1.206,0.362,3.33,11.862,11.211,1.019,0.697,1.464,4.02,4.18,21.2,present ,23.79,31.8,
23/02/2026,15:30:00,21.073,6.654,38.15,13.228,0.381,0.132,12.148,10.866,1.196,0.371,3.224,11.821,11.179,1.016,0.703,1.447,4.02,4.18,20.8,present ,23.79,31.5,
23/02/2026,16:00:00,17.653,5.622,32.238,11.445,0.322,0.114,11.857,10.755,1.166,0.437,2.666,11.682,11.078,0.995,0.729,1.366,4.02,4.18,20.2,present ,23.82,31.8,
23/02/2026,16:30:00,13.632,4.515,25.29,9.532,0.252,0.095,11.62,10.718,1.11,0.52,2.132,11.606,11.04,0.971,0.756,1.285,4.02,4.18,19.7,present ,23.82,31.8,
23/02/2026,17:00:00,10.204,3.573,19.364,7.904,0.193,0.079,11.462,10.736,1.047,0.594,1.762,11.578,11.042,0.95,0.779,1.219,4.02,4.18,19.4,present ,23.82,31.8,
23/02/2026,17:30:00,5.835,2.47,11.814,5.998,0.118,0.059,11.311,10.81,0.957,0.692,1.382,11.56,11.062,0.924,0.805,1.147,4.02,4.18,19,present ,23.79,31.8,
23/02/2026,18:00:00,3.607,1.917,7.963,5.042,0.079,0.05,11.289,10.917,0.909,0.744,1.221,11.584,11.117,0.912,0.819,1.112,4.02,4.18,18.6,present ,23.79,31.8,
23/02/2026,18:30:00,2.868,1.774,6.686,4.794,0.066,0.047,11.272,10.95,0.891,0.76,1.172,11.596,11.148,0.907,0.822,1.103,4.02,4.18,18.5,present ,23.79,32.09,
23/02/2026,19:00:00,2.511,1.661,6.068,4.599,0.06,0.045,11.264,10.967,0.884,0.769,1.149,11.595,11.159,0.905,0.824,1.096,4.02,4.18,18.5,present ,23.79,31.5,
23/02/2026,19:30:00,2.269,1.639,5.651,4.561,0.056,0.045,11.304,11.022,0.877,0.773,1.134,11.628,11.199,0.904,0.824,1.095,4.02,4.18,18.6,present ,23.82,31.8,
23/02/2026,20:00:00,2.168,1.608,5.476,4.508,0.054,0.045,11.365,11.096,0.874,0.774,1.128,11.69,11.266,0.903,0.825,1.093,4.02,4.18,18.7,present ,23.79,32.09,
23/02/2026,20:30:00,1.987,1.531,5.162,4.375,0.051,0.043,11.329,11.073,0.872,0.78,1.116,11.68,11.265,0.9,0.826,1.088,4.02,4.18,18.5,present ,23.82,31.8,
23/02/2026,21:00:00,1.788,1.488,4.818,4.3,0.048,0.043,11.224,10.988,0.866,0.784,1.104,11.615,11.209,0.9,0.828,1.086,4.02,4.18,18,present ,23.82,31.8,
23/02/2026,21:30:00,1.662,1.446,4.601,4.228,0.046,0.042,11.064,10.846,0.862,0.786,1.096,11.456,11.062,0.898,0.828,1.083,4.02,4.18,17.7,present ,23.79,32.09,
23/02/2026,22:00:00,1.533,1.427,4.377,4.195,0.043,0.041,10.934,10.729,0.862,0.791,1.088,11.318,10.931,0.9,0.83,1.082,4.02,4.18,17.79,present ,23.83,32.4,
23/02/2026,22:30:00,1.531,1.428,4.375,4.197,0.043,0.041,10.845,10.646,0.861,0.79,1.088,11.218,10.835,0.9,0.831,1.082,4.02,4.18,17.79,present ,23.79,31.5,
23/02/2026,23:00:00,1.447,1.429,4.229,4.198,0.042,0.041,10.755,10.561,0.858,0.791,1.083,11.134,10.752,0.899,0.829,1.082,4.02,4.18,17.79,present ,23.79,31.5,
23/02/2026,23:30:00,1.521,1.429,4.358,4.199,0.043,0.041,10.672,10.479,0.861,0.791,1.088,11.045,10.665,0.9,0.83,1.082,4.02,4.18,17.6,present ,23.79,31.8,
24/02/2026,00:00:00,1.542,1.398,4.393,4.144,0.043,0.041,10.645,10.45,0.862,0.791,1.089,10.997,10.616,0.901,0.832,1.08,4.02,4.18,17.79,present ,23.79,31.5,
24/02/2026,00:30:00,1.519,1.418,4.354,4.179,0.043,0.041,10.682,10.481,0.862,0.792,1.088,11.01,10.624,0.903,0.833,1.081,4.02,4.18,18.1,present ,23.83,32.4,
24/02/2026,01:00:00,1.668,1.49,4.611,4.304,0.046,0.043,10.765,10.55,0.865,0.788,1.097,11.082,10.69,0.903,0.83,1.086,4.02,4.18,18.1,present ,23.82,31.8,
24/02/2026,01:30:00,1.609,1.419,4.509,4.182,0.045,0.041,10.776,10.569,0.864,0.79,1.093,11.115,10.725,0.901,0.832,1.082,4.02,4.18,18.1,present ,23.79,31.8,
24/02/2026,02:00:00,1.617,1.466,4.524,4.263,0.045,0.042,10.813,10.597,0.864,0.789,1.094,11.139,10.745,0.901,0.83,1.084,4.02,4.18,18,present ,23.82,31.8,
24/02/2026,02:30:00,1.741,1.439,4.738,4.215,0.047,0.042,10.899,10.672,0.867,0.787,1.101,11.218,10.819,0.901,0.831,1.083,4.02,4.18,18.29,present ,23.82,31.8,
24/02/2026,03:00:00,1.786,1.502,4.815,4.324,0.048,0.043,10.998,10.766,0.868,0.785,1.104,11.31,10.907,0.904,0.831,1.087,4.02,4.18,18.5,present ,23.79,31.8,
24/02/2026,03:30:00,1.854,1.531,4.934,4.375,0.049,0.043,11.063,10.825,0.868,0.783,1.108,11.383,10.978,0.903,0.829,1.088,4.02,4.18,18.29,present ,23.78,31.2,
